date,rank,pixel_id,x_m,y_m,predicted_lst_c
2026-08-12,72,R0243C0141,699075.0,3758115.0,41.43999
2026-08-12,73,R0254C0078,697185.0,3757785.0,41.43628
2026-08-12,74,R0255C0078,697185.0,3757755.0,41.43628
2026-08-12,75,R0201C0122,698505.0,3759375.0,41.434082
2026-08-12,76,R0202C0115,698295.0,3759345.0,41.434082
2026-08-12,77,R0213C0111,698175.0,3759015.0,41.43304
2026-08-12,78,R0233C0159,699615.0,3758415.0,41.428566
2026-08-12,79,R0241C0139,699015.0,3758175.0,41.42618
2026-08-12,80,R0228C0120,698445.0,3758565.0,41.42596
2026-08-12,81,R0160C0206,701025.0,3760605.0,41.423496
2026-08-12,82,R0205C0108,698085.0,3759255.0,41.41853
2026-08-12,83,R0240C0143,699135.0,3758205.0,41.413834
2026-08-12,84,R0235C0147,699255.0,3758355.0,41.413834
2026-08-12,85,R0238C0150,699345.0,3758265.0,41.413834
2026-08-12,86,R0238C0144,699165.0,3758265.0,41.413834
2026-08-12,87,R0238C0140,699045.0,3758265.0,41.413834
2026-08-12,88,R0239C0142,699105.0,3758235.0,41.413834
2026-08-12,89,R0239C0144,699165.0,3758235.0,41.413834
2026-08-12,90,R0239C0143,699135.0,3758235.0,41.413834
2026-08-12,91,R0238C0143,699135.0,3758265.0,41.413834
2026-08-12,92,R0238C0141,699075.0,3758265.0,41.413834
2026-08-12,93,R0238C0142,699105.0,3758265.0,41.413834
2026-08-12,94,R0238C0139,699015.0,3758265.0,41.413834
2026-08-12,95,R0247C0124,698565.0,3757995.0,41.413834
2026-08-12,96,R0242C0128,698685.0,3758145.0,41.413834
2026-08-12,97,R0245C0133,698835.0,3758055.0,41.413834
2026-08-12,98,R0146C0181,700275.0,3761025.0,41.412476
2026-08-12,99,R0239C0154,699465.0,3758235.0,41.41201
2026-08-12,100,R0242C0143,699135.0,3758145.0,41.41201
